IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,47058,173.194.58.163,443,10175,Fotos,com.google.android.apps.photos,QUIC,Cerrado,,5200,9172,12,15,2026-06-13T13:24:40.781-05:00,2026-06-13T13:24:41.498-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,45742,2607:f8b0:4008:80c::2003,443,10149,Mensajes,com.google.android.apps.messaging,HTTPS,Cerrado,www.gstatic.com,2303,6714,7,6,2026-06-13T13:24:40.786-05:00,2026-06-13T13:25:42.391-05:00
17,10.215.173.1,40136,173.194.141.201,443,10175,Fotos,com.google.android.apps.photos,QUIC,Cerrado,,8591,189294,66,160,2026-06-13T13:24:40.920-05:00,2026-06-13T13:24:41.848-05:00
17,10.215.173.1,60878,209.85.165.40,443,10175,Fotos,com.google.android.apps.photos,QUIC,Cerrado,,10738,657689,103,526,2026-06-13T13:24:42.159-05:00,2026-06-13T13:24:42.681-05:00
17,10.215.173.1,40006,173.194.30.40,443,10175,Fotos,com.google.android.apps.photos,QUIC,Cerrado,,4548,7297,12,11,2026-06-13T13:24:45.013-05:00,2026-06-13T13:24:45.208-05:00
17,10.215.173.1,44921,173.194.30.106,443,10175,Fotos,com.google.android.apps.photos,QUIC,Cerrado,,10045,340520,81,279,2026-06-13T13:24:45.539-05:00,2026-06-13T13:24:46.838-05:00
6,10.215.173.1,37870,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2112,1701,9,9,2026-06-13T13:24:45.603-05:00,2026-06-13T13:24:45.806-05:00
17,10.215.173.1,34630,173.194.141.70,443,10175,Fotos,com.google.android.apps.photos,QUIC,Cerrado,,10087,386384,82,313,2026-06-13T13:24:47.175-05:00,2026-06-13T13:24:47.645-05:00
17,10.215.173.1,41357,142.251.107.138,443,10175,Fotos,com.google.android.apps.photos,QUIC,Cerrado,,16655,10938,45,56,2026-06-13T13:24:50.555-05:00,2026-06-13T13:25:02.306-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,55484,2a03:2880:f37d:121:face:b00c:0:7260,5222,10256,WhatsApp,com.whatsapp,TCP,Cerrado,g.whatsapp.net,53458,463052,593,613,2026-06-13T13:24:57.156-05:00,2026-06-13T13:29:17.487-05:00
6,10.215.173.1,46118,31.13.89.53,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,,4588,1487,8,8,2026-06-13T13:24:57.847-05:00,2026-06-13T13:26:02.918-05:00
6,10.215.173.1,39782,74.125.196.188,5228,10147,Servicios de Google Play,com.google.android.gms,TLS,Cerrado,mtalk.google.com,1348,1188,7,8,2026-06-13T13:25:11.750-05:00,2026-06-13T13:26:12.938-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,37268,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,2077,3439,14,14,2026-06-13T13:25:19.271-05:00,2026-06-13T13:25:30.414-05:00
17,10.215.173.1,39145,216.239.32.223,443,10176,YouTube,com.google.android.youtube,QUIC,Cerrado,,12122,10106,23,20,2026-06-13T13:25:19.976-05:00,2026-06-13T13:25:27.461-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,60304,2001:4860:4802:38::223,443,10176,YouTube,com.google.android.youtube,HTTPS,Cerrado,youtubei.googleapis.com,2359,5844,7,6,2026-06-13T13:25:19.981-05:00,2026-06-13T13:26:23.270-05:00
17,10.215.173.1,46040,142.251.215.22,443,10176,YouTube,com.google.android.youtube,QUIC,Cerrado,,4722,9662,13,13,2026-06-13T13:25:20.418-05:00,2026-06-13T13:25:20.855-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,53476,2a03:2880:f235:c6:face:b00c:0:167,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,media-qro1-1.cdn.whatsapp.net,165401,2027,29,15,2026-06-13T13:25:30.494-05:00,2026-06-13T13:26:33.508-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,56294,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,1533,2297,10,11,2026-06-13T13:25:32.338-05:00,2026-06-13T13:25:42.398-05:00
6,10.215.173.1,35476,216.239.36.223,443,10147,Servicios de Google Play,com.google.android.gms,HTTPS,Error,auditrecording-pa.googleapis.com,3229,4636,13,13,2026-06-13T13:25:32.421-05:00,2026-06-13T13:25:32.739-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,42660,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,1533,2297,10,11,2026-06-13T13:26:12.962-05:00,2026-06-13T13:26:23.018-05:00
6,10.215.173.1,46570,108.177.11.188,5228,10147,Servicios de Google Play,com.google.android.gms,TLS,Cerrado,mtalk.google.com,1348,1188,7,8,2026-06-13T13:26:13.024-05:00,2026-06-13T13:27:13.589-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,37084,2806:260:102d:1:face:b00c:3333:7020,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,media.fcun2-1.fna.whatsapp.net,2175,11892,14,14,2026-06-13T13:26:27.605-05:00,2026-06-13T13:29:03.827-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,37096,2806:260:102d:1:face:b00c:3333:7020,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,media.fcun2-1.fna.whatsapp.net,14456,3960160,219,499,2026-06-13T13:26:27.638-05:00,2026-06-13T13:27:28.766-05:00
6,10.215.173.1,37992,31.13.89.53,443,10256,WhatsApp,com.whatsapp,HTTPS,Cerrado,,4534,2387,12,11,2026-06-13T13:26:27.826-05:00,2026-06-13T13:28:18.097-05:00
6,10.215.173.1,38420,108.177.11.188,5228,10147,Servicios de Google Play,com.google.android.gms,TLS,Cerrado,mtalk.google.com,1343,1188,7,8,2026-06-13T13:27:13.621-05:00,2026-06-13T13:29:08.868-05:00
6,10.215.173.1,60148,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2084,1701,9,9,2026-06-13T13:27:17.280-05:00,2026-06-13T13:27:17.474-05:00
6,10.215.173.1,60152,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2086,1676,9,9,2026-06-13T13:27:17.486-05:00,2026-06-13T13:27:17.700-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,58502,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,1473,2237,9,10,2026-06-13T13:27:20.084-05:00,2026-06-13T13:27:30.201-05:00
17,10.215.173.1,58135,216.239.34.223,443,10147,Servicios de Google Play,com.google.android.gms,QUIC,Cerrado,,4944,4847,10,12,2026-06-13T13:27:20.205-05:00,2026-06-13T13:27:20.498-05:00
6,10.215.173.1,50982,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2112,1701,9,9,2026-06-13T13:28:41.140-05:00,2026-06-13T13:28:41.479-05:00
6,10.215.173.1,50984,34.160.81.0,443,10252,AIO Launcher,ru.execbit.aiolauncher,HTTPS,Cerrado,o4509058527330304.ingest.us.sentry.io,2087,1701,9,9,2026-06-13T13:28:41.544-05:00,2026-06-13T13:28:41.773-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,54904,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Cerrado,,1473,2297,9,11,2026-06-13T13:29:04.900-05:00,2026-06-13T13:29:14.967-05:00
6,10.215.173.1,52536,216.239.34.223,443,10147,Servicios de Google Play,com.google.android.gms,HTTPS,Cerrado,people-pa.googleapis.com,4677,4596,10,12,2026-06-13T13:29:04.958-05:00,2026-06-13T13:30:10.290-05:00
6,fd00:2:fd00:1:fd00:1:fd00:1,54906,2606:4700:4700::1111,853,-1,Desconocido,unknown,TLS,Error,,1381,1685,10,9,2026-06-13T13:29:08.900-05:00,2026-06-13T13:29:18.954-05:00
6,10.215.173.1,50752,108.177.11.188,5228,10147,Servicios de Google Play,com.google.android.gms,TLS,Cerrado,mtalk.google.com,1350,1188,7,8,2026-06-13T13:29:08.961-05:00,2026-06-13T13:30:10.290-05:00
